job_role,skills
Data Scientist,"Python SQL Machine Learning Statistics Data Analysis Pandas NumPy"
DevOps Engineer,"AWS Docker Kubernetes CI/CD Automation Linux Cloud Computing Terraform"
Backend Developer,"Java Python SQL APIs REST Spring Boot Node.js Databases"
Frontend Developer,"JavaScript React CSS HTML TypeScript UI Design Web Design"
Cloud Architect,"AWS Azure Cloud Computing Networking Automation Security Terraform"
Machine Learning Engineer,"Python Machine Learning TensorFlow PyTorch Deep Learning Data Structures Algorithms"
Data Analyst,"SQL Excel Python Data Analysis Visualization Statistics Power BI"
Full Stack Developer,"JavaScript Python React Node.js SQL APIs Databases Git"
Cybersecurity Analyst,"Networking Security Linux Python Cloud Computing Risk Assessment"
Database Administrator,"SQL Databases Backup Recovery Performance Tuning Security Automation"
Mobile App Developer,"Java Kotlin Swift Mobile Development APIs Git UI Design"
Systems Administrator,"Linux Networking Automation Cloud Computing Scripting Security"
Site Reliability Engineer,"Kubernetes Docker Automation Monitoring Linux Cloud Computing CI/CD"
AI Research Scientist,"Python Machine Learning Deep Learning Statistics Algorithms Research"
QA Automation Engineer,"Automation Python Selenium Testing CI/CD Git Java"
